,transaction_size,transaction_data
232,10,Transaction 36
233,8,Transaction 49
234,55,Transaction 18
235,79,Transaction 34
236,57,Transaction 62
237,68,Transaction 41
238,79,Transaction 46
239,25,Transaction 64
240,43,Transaction 54
241,29,Transaction 16
242,90,Transaction 38
243,46,Transaction 82
244,82,Transaction 68
245,9,Transaction 73
246,34,Transaction 30
247,37,Transaction 6
248,57,Transaction 56
249,78,Transaction 39
250,51,Transaction 23
251,100,Transaction 40
252,22,Transaction 69
253,8,Transaction 4
254,17,Transaction 79
255,33,Transaction 93
256,92,Transaction 93
257,4,Transaction 15
258,89,Transaction 16
259,28,Transaction 9
260,82,Transaction 20
261,79,Transaction 83
262,47,Transaction 47
263,44,Transaction 76
264,91,Transaction 86
265,75,Transaction 24
266,33,Transaction 14
267,51,Transaction 66
268,60,Transaction 59
269,48,Transaction 46
270,99,Transaction 53
271,97,Transaction 66
272,99,Transaction 48
273,78,Transaction 24
274,45,Transaction 13
275,46,Transaction 51
276,97,Transaction 72
277,23,Transaction 7
278,55,Transaction 3
279,87,Transaction 97
280,71,Transaction 91
281,92,Transaction 52
282,76,Transaction 95
283,94,Transaction 23
284,32,Transaction 53
285,19,Transaction 39
286,14,Transaction 87
287,95,Transaction 49
288,26,Transaction 53
289,53,Transaction 29
290,79,Transaction 50
291,8,Transaction 85
292,73,Transaction 59
293,4,Transaction 61
294,44,Transaction 21
295,75,Transaction 40
296,63,Transaction 7
297,30,Transaction 77
298,22,Transaction 41
299,65,Transaction 25
300,63,Transaction 27
301,65,Transaction 6
302,53,Transaction 7
303,25,Transaction 82
304,85,Transaction 83
305,3,Transaction 33
306,8,Transaction 54
307,64,Transaction 11
308,54,Transaction 75
309,36,Transaction 52
310,32,Transaction 52
311,4,Transaction 81
312,82,Transaction 26
313,34,Transaction 3
314,79,Transaction 8
315,65,Transaction 37
316,84,Transaction 46
317,67,Transaction 11
318,55,Transaction 62
319,53,Transaction 27
320,95,Transaction 18
321,62,Transaction 24
322,49,Transaction 67
323,21,Transaction 47
324,61,Transaction 44
325,22,Transaction 82
326,75,Transaction 48
327,9,Transaction 53
328,30,Transaction 2
329,21,Transaction 68
330,36,Transaction 79
331,77,Transaction 19
332,62,Transaction 23
333,62,Transaction 90
334,29,Transaction 47
335,43,Transaction 32
336,4,Transaction 101
337,19,Transaction 59
338,23,Transaction 21
339,45,Transaction 22
340,88,Transaction 55
341,46,Transaction 9
342,50,Transaction 2
343,73,Transaction 12
344,85,Transaction 99
345,50,Transaction 83
346,49,Transaction 64
347,64,Transaction 27
348,87,Transaction 19
349,66,Transaction 58
350,55,Transaction 36
351,98,Transaction 53
352,94,Transaction 95
353,36,Transaction 76
354,68,Transaction 40
355,77,Transaction 10
356,40,Transaction 60
357,70,Transaction 5
358,15,Transaction 9
359,56,Transaction 19
360,99,Transaction 67
361,15,Transaction 83
362,14,Transaction 66
363,94,Transaction 39
364,75,Transaction 93
365,94,Transaction 50
366,96,Transaction 87
367,64,Transaction 98
368,7,Transaction 71
369,38,Transaction 91
370,10,Transaction 13
371,45,Transaction 11
372,40,Transaction 59
373,74,Transaction 71
374,44,Transaction 94
375,66,Transaction 55
376,97,Transaction 34
377,90,Transaction 73
378,28,Transaction 87
379,1,Transaction 28
380,39,Transaction 60
381,68,Transaction 88
382,91,Transaction 34
383,30,Transaction 94
384,97,Transaction 83
385,94,Transaction 2
386,25,Transaction 2
387,16,Transaction 55
388,37,Transaction 4
389,13,Transaction 70
390,50,Transaction 43
391,36,Transaction 16
392,28,Transaction 13
393,98,Transaction 88
394,70,Transaction 69
395,57,Transaction 24
396,15,Transaction 16
397,77,Transaction 63
398,59,Transaction 72
399,95,Transaction 34
400,22,Transaction 32
401,34,Transaction 75
402,54,Transaction 55
403,55,Transaction 89
404,50,Transaction 74
405,49,Transaction 68
406,91,Transaction 75
407,11,Transaction 89
408,65,Transaction 5
409,12,Transaction 24
410,54,Transaction 32
411,94,Transaction 2
412,82,Transaction 51
413,10,Transaction 72
414,45,Transaction 97
415,65,Transaction 56
416,53,Transaction 4
417,21,Transaction 71
418,57,Transaction 80
419,39,Transaction 99
420,57,Transaction 93
421,92,Transaction 87
422,36,Transaction 55
423,90,Transaction 35
424,19,Transaction 74
425,77,Transaction 41
426,52,Transaction 56
427,63,Transaction 10
428,53,Transaction 76
429,66,Transaction 29
430,51,Transaction 37
431,10,Transaction 70
432,13,Transaction 8
433,45,Transaction 57
434,7,Transaction 40
435,98,Transaction 24
436,18,Transaction 85
437,34,Transaction 48
438,15,Transaction 40
439,36,Transaction 93
440,6,Transaction 84
441,44,Transaction 69
442,58,Transaction 22
443,82,Transaction 64
444,27,Transaction 47
445,15,Transaction 73
446,43,Transaction 53
447,71,Transaction 21
448,71,Transaction 65
449,22,Transaction 46
450,79,Transaction 25
451,35,Transaction 93
452,49,Transaction 99
453,32,Transaction 19
454,92,Transaction 53
455,67,Transaction 53
456,85,Transaction 6
457,43,Transaction 36
458,73,Transaction 95
459,27,Transaction 11
460,61,Transaction 42
461,68,Transaction 55
462,99,Transaction 54
463,27,Transaction 29
464,29,Transaction 38
465,91,Transaction 40
466,94,Transaction 23
467,28,Transaction 76
468,61,Transaction 39
469,51,Transaction 46
470,41,Transaction 93
471,90,Transaction 86
472,7,Transaction 90
473,95,Transaction 86
474,42,Transaction 13
475,70,Transaction 40
476,73,Transaction 30
477,92,Transaction 61
478,91,Transaction 95
479,79,Transaction 80
480,90,Transaction 44
481,58,Transaction 88
482,51,Transaction 16
483,77,Transaction 47
484,97,Transaction 57
485,58,Transaction 51
486,92,Transaction 88
487,72,Transaction 15
488,30,Transaction 39
489,70,Transaction 49
490,11,Transaction 46
491,91,Transaction 62
492,7,Transaction 89
493,69,Transaction 39
494,93,Transaction 86
495,37,Transaction 23
496,8,Transaction 25
497,9,Transaction 20
498,85,Transaction 46
499,56,Transaction 46
500,1,Transaction 57
501,63,Transaction 32
502,75,Transaction 24
503,95,Transaction 40
504,40,Transaction 42
505,99,Transaction 84
506,43,Transaction 59
507,100,Transaction 51
508,56,Transaction 71
509,26,Transaction 26
510,27,Transaction 93
511,49,Transaction 16
512,21,Transaction 60
513,56,Transaction 26
514,7,Transaction 22
515,77,Transaction 21
516,54,Transaction 81
517,16,Transaction 64
518,15,Transaction 4
519,78,Transaction 24
520,53,Transaction 17
521,27,Transaction 68
522,34,Transaction 18
523,84,Transaction 66
524,39,Transaction 33
525,19,Transaction 40
526,76,Transaction 77
527,83,Transaction 98
528,36,Transaction 80
529,68,Transaction 93
530,90,Transaction 16
531,42,Transaction 94
532,44,Transaction 55
533,37,Transaction 85
534,79,Transaction 86
535,98,Transaction 29
536,67,Transaction 101
537,54,Transaction 31
538,69,Transaction 62
539,63,Transaction 7
540,8,Transaction 67
541,12,Transaction 56
542,15,Transaction 85
543,43,Transaction 76
544,32,Transaction 22
545,61,Transaction 47
546,87,Transaction 68
547,19,Transaction 50
548,74,Transaction 27
549,84,Transaction 5
550,64,Transaction 36
551,74,Transaction 35
552,1,Transaction 55
553,45,Transaction 17
554,80,Transaction 61
555,80,Transaction 82
556,80,Transaction 99
557,85,Transaction 31
558,31,Transaction 4
559,12,Transaction 28
560,8,Transaction 8
561,69,Transaction 22
562,72,Transaction 37
563,74,Transaction 89
564,86,Transaction 31
565,97,Transaction 31
566,31,Transaction 53
567,42,Transaction 16
568,27,Transaction 20
569,19,Transaction 76
570,87,Transaction 97
571,78,Transaction 93
572,38,Transaction 16
573,49,Transaction 74
574,33,Transaction 41
575,45,Transaction 99
576,78,Transaction 26
577,91,Transaction 13
578,54,Transaction 27
579,72,Transaction 76
580,69,Transaction 20
581,79,Transaction 16
582,12,Transaction 90
583,59,Transaction 15
584,52,Transaction 88
585,92,Transaction 6
586,79,Transaction 40
587,73,Transaction 49
588,68,Transaction 46
589,96,Transaction 85
590,54,Transaction 25
591,24,Transaction 35
592,82,Transaction 50
593,93,Transaction 35
594,40,Transaction 66
595,36,Transaction 39
596,26,Transaction 101
597,65,Transaction 94
598,13,Transaction 15
599,89,Transaction 69
600,34,Transaction 94
601,46,Transaction 26
602,10,Transaction 101
603,5,Transaction 79
604,61,Transaction 2
605,84,Transaction 33
606,100,Transaction 15
607,32,Transaction 45
608,42,Transaction 72
609,87,Transaction 84
610,15,Transaction 90
611,17,Transaction 40
612,70,Transaction 79
613,67,Transaction 82
614,45,Transaction 95
615,78,Transaction 21
616,71,Transaction 43
617,38,Transaction 72
618,1,Transaction 79
619,85,Transaction 94
620,81,Transaction 16
621,47,Transaction 16
622,89,Transaction 41
623,5,Transaction 10
624,73,Transaction 13
625,53,Transaction 79
626,11,Transaction 21
627,85,Transaction 99
628,11,Transaction 57
629,51,Transaction 94
630,17,Transaction 74
631,55,Transaction 95
632,56,Transaction 48
633,39,Transaction 7
634,49,Transaction 36
635,32,Transaction 19
636,22,Transaction 69
637,81,Transaction 10
638,47,Transaction 25
639,79,Transaction 13
640,10,Transaction 80
641,35,Transaction 84
642,64,Transaction 92
643,18,Transaction 63
644,53,Transaction 67
645,46,Transaction 71
646,10,Transaction 5
647,58,Transaction 33
648,68,Transaction 9
649,21,Transaction 24
650,38,Transaction 52
651,72,Transaction 98
652,26,Transaction 39
653,37,Transaction 55
654,64,Transaction 31
655,80,Transaction 101
656,61,Transaction 92
657,16,Transaction 4
658,85,Transaction 40
659,95,Transaction 4
660,88,Transaction 54
661,1,Transaction 34
662,99,Transaction 7
663,43,Transaction 5
664,71,Transaction 6
665,88,Transaction 21
666,24,Transaction 15
667,88,Transaction 79
668,44,Transaction 65
669,91,Transaction 50
670,37,Transaction 5
671,36,Transaction 77
672,74,Transaction 3
673,10,Transaction 32
674,14,Transaction 64
675,22,Transaction 57
676,25,Transaction 79
677,82,Transaction 23
678,32,Transaction 12
679,98,Transaction 66
680,95,Transaction 26
681,72,Transaction 98
682,91,Transaction 57
683,53,Transaction 83
684,62,Transaction 3
685,12,Transaction 31
686,48,Transaction 37
687,51,Transaction 66
688,30,Transaction 3
689,52,Transaction 83
690,32,Transaction 43
691,36,Transaction 80
692,81,Transaction 101
693,39,Transaction 14
694,51,Transaction 37
695,15,Transaction 11
696,6,Transaction 50
697,10,Transaction 4
698,24,Transaction 15
699,1,Transaction 64
700,56,Transaction 14
701,25,Transaction 3
702,12,Transaction 3
703,44,Transaction 63
704,66,Transaction 64
705,12,Transaction 60
706,40,Transaction 47
707,15,Transaction 83
708,35,Transaction 98
709,94,Transaction 2
710,14,Transaction 49
711,81,Transaction 16
712,65,Transaction 18
713,54,Transaction 78
714,82,Transaction 99
715,72,Transaction 50
716,13,Transaction 71
717,83,Transaction 51
718,13,Transaction 48
719,35,Transaction 30
720,73,Transaction 12
721,10,Transaction 80
722,49,Transaction 11
723,77,Transaction 66
724,39,Transaction 24
725,67,Transaction 11
726,91,Transaction 3
727,10,Transaction 29
728,30,Transaction 41
729,71,Transaction 87
730,7,Transaction 54
731,80,Transaction 53
732,62,Transaction 58
733,35,Transaction 62
734,2,Transaction 63
735,79,Transaction 31
736,98,Transaction 7
737,53,Transaction 85
738,11,Transaction 37
739,68,Transaction 8
740,10,Transaction 17
741,15,Transaction 22
742,33,Transaction 33
743,26,Transaction 99
744,79,Transaction 20
745,29,Transaction 88
746,23,Transaction 56
747,54,Transaction 65
748,27,Transaction 62
749,86,Transaction 70
750,67,Transaction 36
751,1,Transaction 76
752,67,Transaction 50
753,94,Transaction 95
754,46,Transaction 19
755,39,Transaction 83
756,17,Transaction 83
757,21,Transaction 3
758,72,Transaction 28
759,91,Transaction 56
760,81,Transaction 2
761,93,Transaction 98
762,86,Transaction 87
763,74,Transaction 98
764,78,Transaction 8
765,85,Transaction 87
766,75,Transaction 53
767,38,Transaction 46
768,13,Transaction 49
769,33,Transaction 6
770,17,Transaction 23
771,64,Transaction 16
772,37,Transaction 55
773,22,Transaction 44
774,93,Transaction 89
775,50,Transaction 44
776,29,Transaction 61
777,29,Transaction 61
778,37,Transaction 52
779,66,Transaction 76
780,2,Transaction 27
781,22,Transaction 58
782,59,Transaction 11
783,29,Transaction 84
784,46,Transaction 62
785,53,Transaction 30
786,25,Transaction 10
787,96,Transaction 23
788,53,Transaction 79
789,20,Transaction 91
790,70,Transaction 51
791,3,Transaction 2
792,100,Transaction 7
793,91,Transaction 92
794,43,Transaction 31
795,18,Transaction 9
796,48,Transaction 84
797,20,Transaction 58
798,81,Transaction 21
799,55,Transaction 43
800,32,Transaction 57
801,14,Transaction 70
802,86,Transaction 68
803,65,Transaction 14
804,48,Transaction 101
805,58,Transaction 38
806,95,Transaction 49
807,79,Transaction 81
808,46,Transaction 43
809,80,Transaction 75
810,71,Transaction 7
811,97,Transaction 70
812,78,Transaction 31
813,64,Transaction 40
814,84,Transaction 11
815,35,Transaction 24
816,6,Transaction 55
817,70,Transaction 8
818,13,Transaction 50
819,76,Transaction 35
820,32,Transaction 56
821,98,Transaction 74
822,17,Transaction 7
823,24,Transaction 20
824,52,Transaction 39
825,53,Transaction 101
826,91,Transaction 4
827,6,Transaction 72
828,52,Transaction 11
829,61,Transaction 70
830,4,Transaction 17
831,90,Transaction 60
832,65,Transaction 29
833,19,Transaction 3
834,88,Transaction 99
835,12,Transaction 72
836,70,Transaction 85
837,48,Transaction 24
838,17,Transaction 93
839,33,Transaction 18
840,5,Transaction 51
841,71,Transaction 51
842,43,Transaction 27
843,70,Transaction 43
844,87,Transaction 101
845,27,Transaction 83
846,28,Transaction 50
847,66,Transaction 15
848,73,Transaction 59
849,44,Transaction 98
850,82,Transaction 50
851,86,Transaction 38
852,91,Transaction 91
853,19,Transaction 40
854,26,Transaction 31
855,72,Transaction 37
856,12,Transaction 61
857,30,Transaction 76
858,78,Transaction 61
859,16,Transaction 72
860,84,Transaction 71
861,98,Transaction 47
862,50,Transaction 79
863,96,Transaction 6
864,97,Transaction 54
865,21,Transaction 83
866,25,Transaction 65
867,44,Transaction 86
868,69,Transaction 13
869,96,Transaction 52
870,38,Transaction 77
871,99,Transaction 88
872,51,Transaction 40
873,12,Transaction 10
874,14,Transaction 51
875,81,Transaction 4
876,44,Transaction 83
877,54,Transaction 97
878,49,Transaction 85
879,25,Transaction 99
880,40,Transaction 4
881,56,Transaction 24
882,10,Transaction 99
883,32,Transaction 55
884,54,Transaction 87
885,49,Transaction 63
886,5,Transaction 3
887,87,Transaction 4
888,82,Transaction 60
889,87,Transaction 86
890,37,Transaction 34
891,22,Transaction 16
892,33,Transaction 8
893,19,Transaction 81
894,61,Transaction 39
895,87,Transaction 69
896,84,Transaction 73
897,88,Transaction 43
898,57,Transaction 39
899,70,Transaction 33
900,46,Transaction 38
901,100,Transaction 19
902,34,Transaction 39
903,86,Transaction 51
904,92,Transaction 76
905,80,Transaction 4
906,96,Transaction 66
907,65,Transaction 30
908,22,Transaction 71
909,23,Transaction 61
910,99,Transaction 99
911,1,Transaction 86
912,58,Transaction 54
913,51,Transaction 30
914,8,Transaction 60
915,56,Transaction 3
916,81,Transaction 66
917,35,Transaction 44
918,92,Transaction 40
919,90,Transaction 7
920,46,Transaction 15
921,15,Transaction 43
922,57,Transaction 49
923,47,Transaction 64
924,13,Transaction 98
925,21,Transaction 40
926,37,Transaction 92
927,42,Transaction 41
928,95,Transaction 15
929,26,Transaction 6
930,52,Transaction 43
931,7,Transaction 32
932,98,Transaction 94
933,37,Transaction 23
934,27,Transaction 27
935,74,Transaction 13
936,59,Transaction 17
937,72,Transaction 53
938,68,Transaction 97
939,33,Transaction 88
940,66,Transaction 69
941,41,Transaction 47
942,52,Transaction 99
943,58,Transaction 50
944,56,Transaction 97
945,95,Transaction 7
946,55,Transaction 48
947,44,Transaction 43
948,54,Transaction 16
949,9,Transaction 10
950,32,Transaction 47
951,26,Transaction 59
952,83,Transaction 27
953,20,Transaction 2
954,8,Transaction 63
955,86,Transaction 84
956,5,Transaction 34
957,17,Transaction 24
958,38,Transaction 22
959,83,Transaction 101
960,10,Transaction 41
961,27,Transaction 79
962,57,Transaction 97
963,56,Transaction 55
964,36,Transaction 82
965,32,Transaction 38
966,58,Transaction 52
967,83,Transaction 86
968,49,Transaction 53
969,42,Transaction 19
970,48,Transaction 25
971,10,Transaction 42
972,31,Transaction 68
973,65,Transaction 101
974,26,Transaction 24
975,23,Transaction 25
976,43,Transaction 51
977,40,Transaction 61
978,42,Transaction 82
979,33,Transaction 72
980,43,Transaction 92
981,26,Transaction 41
982,98,Transaction 20
983,50,Transaction 42
984,47,Transaction 70
985,18,Transaction 82
986,64,Transaction 24
987,25,Transaction 49
988,61,Transaction 35
989,97,Transaction 62
990,79,Transaction 40
991,22,Transaction 61
992,14,Transaction 69
993,30,Transaction 58
994,16,Transaction 100
995,84,Transaction 46
996,72,Transaction 78
997,69,Transaction 71
998,55,Transaction 67
999,13,Transaction 79
1000,46,Transaction 74
1001,94,Transaction 20
1002,56,Transaction 52
1003,28,Transaction 85
1004,81,Transaction 56
1005,4,Transaction 33
1006,59,Transaction 90
1007,49,Transaction 8
1008,55,Transaction 23
1009,63,Transaction 16
1010,40,Transaction 95
1011,9,Transaction 52
1012,52,Transaction 84
1013,76,Transaction 85
1014,53,Transaction 30
1015,72,Transaction 9
1016,24,Transaction 64
1017,16,Transaction 67
1018,22,Transaction 14
1019,51,Transaction 44
1020,84,Transaction 24
1021,92,Transaction 29
1022,38,Transaction 26
1023,82,Transaction 83
1024,67,Transaction 55
1025,82,Transaction 12
1026,15,Transaction 31
1027,72,Transaction 47
1028,42,Transaction 74
1029,15,Transaction 77
1030,71,Transaction 76
1031,25,Transaction 65
1032,54,Transaction 47
1033,79,Transaction 83
1034,15,Transaction 14
1035,42,Transaction 99
1036,92,Transaction 81
1037,28,Transaction 62
1038,61,Transaction 51
1039,51,Transaction 15
1040,20,Transaction 49
1041,52,Transaction 28
1042,14,Transaction 60
1043,3,Transaction 24
1044,72,Transaction 16
1045,96,Transaction 76
1046,63,Transaction 76
1047,93,Transaction 21
1048,79,Transaction 38
1049,74,Transaction 52
1050,76,Transaction 8
1051,31,Transaction 56
1052,68,Transaction 79
1053,90,Transaction 24
1054,66,Transaction 69
1055,72,Transaction 40
1056,77,Transaction 73
1057,100,Transaction 49
1058,49,Transaction 49
1059,41,Transaction 88
1060,15,Transaction 97
1061,58,Transaction 90
1062,28,Transaction 59
1063,39,Transaction 85
1064,24,Transaction 41
1065,78,Transaction 30
1066,25,Transaction 19
1067,30,Transaction 37
1068,71,Transaction 12
1069,90,Transaction 20
1070,83,Transaction 17
1071,36,Transaction 96
1072,7,Transaction 95
1073,60,Transaction 35
1074,13,Transaction 38
1075,67,Transaction 53
1076,60,Transaction 81
1077,84,Transaction 84
1078,43,Transaction 14
1079,12,Transaction 99
1080,5,Transaction 101
1081,47,Transaction 19
1082,18,Transaction 15
1083,54,Transaction 38
1084,98,Transaction 16
1085,19,Transaction 97
1086,60,Transaction 84
1087,3,Transaction 53
1088,100,Transaction 36
1089,34,Transaction 100
1090,32,Transaction 59
1091,50,Transaction 59
1092,55,Transaction 99
1093,74,Transaction 76
1094,34,Transaction 55
1095,99,Transaction 50
1096,76,Transaction 89
1097,38,Transaction 82
1098,28,Transaction 100
1099,99,Transaction 65
1100,80,Transaction 69
1101,82,Transaction 29
1102,95,Transaction 53
1103,45,Transaction 49
1104,48,Transaction 14
1105,20,Transaction 45
1106,48,Transaction 71
1107,26,Transaction 47
1108,36,Transaction 38
1109,83,Transaction 75
1110,14,Transaction 79
1111,17,Transaction 40
1112,60,Transaction 44
1113,1,Transaction 57
1114,39,Transaction 36
1115,58,Transaction 97
1116,94,Transaction 10
1117,29,Transaction 100
1118,43,Transaction 25
1119,65,Transaction 87
1120,4,Transaction 51
1121,39,Transaction 2
1122,30,Transaction 3
1123,51,Transaction 66
1124,92,Transaction 35
1125,33,Transaction 83
1126,25,Transaction 41
1127,77,Transaction 62
1128,57,Transaction 24
1129,60,Transaction 92
1130,84,Transaction 49
1131,36,Transaction 34
1132,47,Transaction 94
1133,8,Transaction 46
1134,78,Transaction 69
1135,5,Transaction 32
1136,25,Transaction 27
1137,78,Transaction 49
1138,59,Transaction 43
1139,77,Transaction 39
1140,5,Transaction 75
1141,96,Transaction 13
1142,100,Transaction 65
1143,21,Transaction 17
1144,24,Transaction 21
1145,10,Transaction 76
1146,70,Transaction 25
1147,39,Transaction 71
1148,95,Transaction 18
1149,93,Transaction 7
1150,43,Transaction 36
1151,50,Transaction 24
1152,75,Transaction 100
1153,21,Transaction 97
1154,24,Transaction 67
1155,40,Transaction 43
1156,88,Transaction 76
1157,11,Transaction 59
1158,15,Transaction 55
1159,10,Transaction 38
1160,33,Transaction 69
1161,31,Transaction 21
1162,46,Transaction 40
1163,90,Transaction 34
1164,10,Transaction 79
1165,14,Transaction 92
1166,49,Transaction 51
1167,96,Transaction 32
1168,36,Transaction 21
1169,55,Transaction 88
1170,80,Transaction 89
1171,73,Transaction 42
1172,8,Transaction 79
1173,64,Transaction 49
1174,56,Transaction 5
1175,25,Transaction 25
1176,7,Transaction 88
1177,35,Transaction 94
1178,30,Transaction 6
1179,10,Transaction 75
1180,56,Transaction 15
1181,58,Transaction 41
1182,35,Transaction 44
1183,52,Transaction 55
1184,39,Transaction 90
1185,97,Transaction 52
1186,52,Transaction 14
1187,29,Transaction 72
1188,23,Transaction 4
1189,93,Transaction 45
1190,24,Transaction 27
1191,50,Transaction 94
1192,30,Transaction 73
1193,64,Transaction 58
1194,83,Transaction 35
1195,32,Transaction 21
1196,68,Transaction 37
1197,77,Transaction 74
1198,65,Transaction 87
1199,87,Transaction 92
1200,43,Transaction 97
1201,89,Transaction 11
1202,46,Transaction 95
1203,3,Transaction 77
1204,12,Transaction 14
1205,96,Transaction 13
1206,77,Transaction 86
1207,17,Transaction 14
1208,10,Transaction 101
1209,77,Transaction 12
1210,25,Transaction 47
1211,59,Transaction 85
1212,2,Transaction 6
1213,52,Transaction 6
1214,18,Transaction 101
1215,85,Transaction 57
1216,78,Transaction 96
1217,59,Transaction 73
1218,72,Transaction 91
1219,81,Transaction 61
1220,88,Transaction 4
1221,3,Transaction 51
1222,79,Transaction 57
1223,75,Transaction 85
1224,93,Transaction 19
1225,87,Transaction 53
1226,35,Transaction 97
1227,95,Transaction 15
1228,59,Transaction 66
1229,84,Transaction 97
1230,40,Transaction 95
1231,62,Transaction 50
1232,4,Transaction 48
1233,59,Transaction 23
1234,59,Transaction 32
1235,84,Transaction 54
1236,29,Transaction 69
1237,94,Transaction 65
1238,27,Transaction 92
1239,88,Transaction 92
1240,10,Transaction 52
1241,93,Transaction 52
1242,54,Transaction 28
1243,36,Transaction 74
1244,56,Transaction 31
1245,25,Transaction 65
1246,64,Transaction 69
